Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
canon29,canon29,canon printer,canon,"Electronics > Print, Copy, Scan & Fax > Printers, Copiers & Fax Machines",printer,"",true,Title,Default Title,,,,,,,,SKU009,0.0,shopify,43,deny,manual,4500.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/canonprinter.jpg?v=1756370614,1,"",false,,,,kg,,,active
diary,diary,black diary,faber-castell,Office Supplies > General Office Supplies > Paper Products > Stationery,notebook,"",true,Title,Default Title,,,,,,,,SKU010,0.0,shopify,20,deny,manual,120.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/dayri.jpg?v=1756379006,1,"",false,,,,kg,,,active
headphones,Headphones,headphones are very good to use,boat,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones,headphones,"",true,Title,Default Title,,,,,,,,SKU012,0.0,shopify,30,deny,manual,1500.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/headphone.jpg?v=1756378710,1,"",false,,,,kg,,,active
infinix-inbook,infinix inbook,inbook y4 max is the latest edition laptop,infinix,Electronics > Computers > Laptops,laptop,"",true,Title,Default Title,,,,,,,,SKU008,0.0,shopify,50,deny,manual,45000.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/infinixlaptop.jpg?v=1756364148,1,"",false,,,,kg,,,active
monitor,monitor,wode size monitor,samsung,Electronics > Video > Video Accessories > Television Parts & Accessories > TV & Monitor Mounts,monitor,"",true,Title,Default Title,,,,,,,,SKU011,0.0,shopify,40,deny,manual,45000.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/infinix_laptop.jpg?v=1756365789,1,"",false,,,,kg,,,active
mouse,Mouse,"",glearn,Electronics > Electronics Accessories > Computer Components > Input Device Accessories > Mice & Trackball Accessories > Mouse Skates,"","",true,Title,Default Title,,,,,,,,SKU001,0.0,shopify,101,deny,manual,100.00,,true,true,"",https://cdn.shopify.com/s/files/1/0626/3547/5015/files/mouse.jpg?v=1756379595,1,"",false,,,,kg,,,active
mouse1,Mouse1,good,ganesh,,office use,"",true,Title,Default Title,,,,,,,,SKU013,0.0,shopify,10,deny,manual,500.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/mouse_6c17a350-51e8-4595-b9e5-714aac5ffc21.jpg?v=1756380880,1,"",false,,,,kg,,,active
pen,Pen,"",glearn,Office Supplies > Office Instruments > Writing & Drawing Instruments > Pens & Pencils > Pens > Ballpoint Pens,"","",true,Title,Default Title,,,,,,,,SKU002,0.0,shopify,80,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0626/3547/5015/files/pen.jpg?v=1756379549,1,"",false,,,,kg,,,active
pen1,Pen1,good,ganesh,,office use,"",true,Title,Default Title,,,,,,,,SKU014,0.0,shopify,10,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/pen_de811ad0-f690-4fbb-8186-27a9d60dc152.jpg?v=1756380883,1,"",false,,,,kg,,,active
realme-1,realme-1,phone is good,realme,Electronics > Communications > Telephony > Mobile & Smart Phones,mobile,"",true,Title,Default Title,,,,,,,,SKU007,0.0,shopify,40,deny,manual,10000.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/3547/5015/files/realme-1.png?v=1756364176,1,"",false,,,,kg,,,active
trousers,Shirt,"",glearn,Apparel & Accessories > Clothing > Clothing Tops > Shirts,"","",true,Title,Default Title,,,,,,,,SKU003,0.0,shopify,70,deny,manual,1000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0626/3547/5015/files/shirt.jpg?v=1756379527,1,"",false,,,,kg,,,active
